team_name,rating_date,rating_type,rating_value,source_name,source_url
Inter,2026-04-22,elo,1892,ClubElo,https://clubelo.com/ITA
Milan,2026-04-22,elo,1808,ClubElo,https://clubelo.com/ITA
Napoli,2026-04-22,elo,1806,ClubElo,https://clubelo.com/ITA
Atalanta,2026-04-22,elo,1799,ClubElo,https://clubelo.com/ITA
Juventus,2026-04-22,elo,1785,ClubElo,https://clubelo.com/ITA
Roma,2026-04-22,elo,1760,ClubElo,https://clubelo.com/ITA
Como,2026-04-22,elo,1757,ClubElo,https://clubelo.com/ITA
Lazio,2026-04-22,elo,1712,ClubElo,https://clubelo.com/ITA
Bologna,2026-04-22,elo,1704,ClubElo,https://clubelo.com/ITA
Fiorentina,2026-04-22,elo,1670,ClubElo,https://clubelo.com/ITA
Sassuolo,2026-04-22,elo,1634,ClubElo,https://clubelo.com/ITA
Udinese,2026-04-22,elo,1632,ClubElo,https://clubelo.com/ITA
Genoa,2026-04-22,elo,1628,ClubElo,https://clubelo.com/ITA
Torino,2026-04-22,elo,1628,ClubElo,https://clubelo.com/ITA
Parma,2026-04-22,elo,1588,ClubElo,https://clubelo.com/ITA
Cagliari,2026-04-22,elo,1568,ClubElo,https://clubelo.com/ITA
Lecce,2026-04-22,elo,1551,ClubElo,https://clubelo.com/ITA
Cremonese,2026-04-22,elo,1534,ClubElo,https://clubelo.com/ITA
Verona,2026-04-22,elo,1506,ClubElo,https://clubelo.com/ITA
Pisa,2026-04-22,elo,1499,ClubElo,https://clubelo.com/ITA
